,date,cash,position,portfolio_value,close,volatility,ATR,rsi,signal
193,2011-02-03,104380.86101000004,1,104381.74101000004,0.88,0.023544681654133544,0.0342857142857143,53.125,buy
194,2011-02-04,104380.86101000004,1,104381.75101000004,0.89,0.02311054497394203,0.0342857142857143,51.612903225806456,buy
195,2011-02-07,104380.86101000004,1,104381.77101000004,0.91,0.024099516429179346,0.0342857142857143,53.125,buy
196,2011-02-08,104380.86101000004,1,104381.79101000003,0.93,0.024107502836848815,0.033571428571428585,61.29032258064516,buy
197,2011-02-09,104380.86101000004,1,104381.78101000004,0.92,0.024084110071488994,0.032142857142857154,63.33333333333333,buy
198,2011-02-10,104380.86101000004,1,104381.78101000004,0.92,0.02426988065698242,0.03142857142857144,67.85714285714286,buy
199,2011-02-11,104380.86101000004,1,104381.80101000004,0.94,0.024554389293229135,0.03142857142857143,66.66666666666666,buy
200,2011-02-14,104380.86101000004,1,104381.81101000003,0.95,0.02480953697686839,0.03071428571428572,66.66666666666666,buy
201,2011-02-15,104380.86101000004,1,104381.81101000003,0.95,0.024980175918100506,0.029999999999999995,65.38461538461536,buy
202,2011-02-16,104380.86101000004,1,104381.82101000004,0.96,0.025017400750056897,0.029999999999999995,63.99999999999998,buy
203,2011-02-17,104380.86101000004,1,104381.82101000004,0.96,0.023263115578556436,0.025714285714285714,88.88888888888889,buy
204,2011-02-18,104380.86101000004,1,104381.82101000004,0.96,0.023263115578556436,0.024285714285714292,88.23529411764704,buy
205,2011-02-22,104380.86101000004,1,104381.73101000003,0.87,0.027968574813829444,0.027142857142857142,47.61904761904761,buy
206,2011-02-24,77647.29005500003,31071,104368.35005500003,0.86,0.029411208104725677,0.03071428571428572,45.454545454545446,buy
207,2011-02-25,89346.83735500004,18065,105605.33735500004,0.9,0.030018059013122655,0.03285714285714286,51.99999999999999,buy
208,2011-02-28,96301.21842500004,10419,105782.50842500004,0.91,0.028395986532990712,0.03285714285714286,50.0,buy
209,2011-03-01,96301.21842500004,10419,105261.55842500004,0.86,0.027575311423387972,0.03500000000000001,37.037037037037024,hold
210,2011-03-02,96301.21842500004,10419,105469.93842500004,0.88,0.024742808196902305,0.03571428571428572,42.857142857142854,hold
211,2011-03-03,100489.70313500005,5913,105988.79313500004,0.93,0.027849046192912737,0.03714285714285715,51.515151515151516,buy
212,2011-03-04,102765.38472500004,3411,105869.39472500003,0.91,0.027849046192912737,0.03714285714285716,45.454545454545475,buy
213,2011-03-07,102765.38472500004,3411,105767.06472500003,0.88,0.02831372159704203,0.04214285714285716,40.00000000000001,hold
214,2011-03-08,104020.54683000004,2000,105800.54683000004,0.89,0.027696153714195898,0.0435714285714286,41.66666666666668,hold
215,2011-03-09,104020.54683000004,2000,105760.54683000004,0.87,0.02762468753475697,0.04428571428571432,37.837837837837846,hold
216,2011-03-11,105679.71683000003,0,105679.71683000003,0.84,0.028540406589215774,0.04785714285714288,35.71428571428572,hold
217,2011-03-14,105679.71683000003,0,105679.71683000003,0.84,0.028144626698632703,0.0435714285714286,45.45454545454545,hold
218,2011-03-15,105679.71683000003,0,105679.71683000003,0.8,0.031106478016106078,0.04642857142857145,42.85714285714287,hold
219,2011-03-16,105679.71683000003,0,105679.71683000003,0.74,0.031319552904798334,0.0485714285714286,35.000000000000014,hold
220,2011-03-17,105679.71683000003,0,105679.71683000003,0.76,0.030941793059486945,0.0485714285714286,31.578947368421055,hold
221,2011-03-18,105679.71683000003,0,105679.71683000003,0.76,0.03130801109406846,0.0485714285714286,29.72972972972974,hold
222,2011-03-21,105679.71683000003,0,105679.71683000003,0.8,0.03224393713329547,0.04785714285714288,41.66666666666668,hold
223,2011-03-22,105679.71683000003,0,105679.71683000003,0.8,0.029668490542455985,0.04714285714285717,38.23529411764708,hold
224,2011-03-23,105679.71683000003,0,105679.71683000003,0.81,0.028223363202644347,0.04714285714285716,30.000000000000014,hold
225,2011-03-24,105679.71683000003,0,105679.71683000003,0.85,0.03063577326272573,0.048571428571428585,40.625,hold
226,2011-03-25,105679.71683000003,0,105679.71683000003,0.86,0.030687108049438205,0.045000000000000005,46.666666666666664,hold
227,2011-03-28,105679.71683000003,0,105679.71683000003,0.85,0.03027509699011366,0.044285714285714296,43.33333333333333,hold
228,2011-03-29,105679.71683000003,0,105679.71683000003,0.87,0.03000986143144213,0.045000000000000005,50.0,hold
229,2011-03-30,78612.34991000003,30743,105666.18991000003,0.88,0.0306944876256864,0.042857142857142864,59.25925925925927,buy
230,2011-03-31,78612.34991000003,30743,105973.61991000004,0.89,0.02767297982595398,0.04142857142857144,59.25925925925927,hold
231,2011-04-01,78612.34991000003,30743,105973.61991000004,0.89,0.028214419732719806,0.04142857142857144,59.25925925925927,hold
232,2011-04-04,78612.34991000003,30743,105666.18991000003,0.88,0.02789592508522447,0.03714285714285716,66.66666666666666,hold
233,2011-04-05,78612.34991000003,30743,105358.75991000004,0.87,0.02754510818398126,0.033571428571428585,84.21052631578947,hold
234,2011-04-06,78612.34991000003,30743,105666.18991000003,0.88,0.0274073226329446,0.03285714285714287,83.33333333333333,hold
235,2011-04-07,78612.34991000003,30743,105666.18991000003,0.88,0.026116403276289203,0.03285714285714287,83.33333333333333,hold
236,2011-04-08,78612.34991000003,30743,105051.32991000003,0.86,0.026100799867713423,0.032142857142857154,68.74999999999997,hold
